is_holiday,Boxing Day,British Columbia Day,Canada Day,Christmas Day,Family Day,Good Friday,Labour Day,National Patriots' Day,New Year's Day,Remembrance Day,St. Jean Baptiste Day,Thanksgiving Day,Victoria Day,MIN_TEMPERATURE,MEAN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_SNOW,TOTAL_RAIN,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,is_weekend,Province_BC,Province_ON,Province_QC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.203726708074534,16.020496894409938,22.81490683229813,0.0,0.0,0.0246153846153846,2.1372670807453416,0.1577639751552794,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.180981595092025,-21.02760736196319,-16.841717791411043,6.719298245614035,0.0175438596491228,3.623404255319149,39.02760736196319,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0161290322580645,7.65852534562212,13.272018348623854,0.0,0.0818181818181818,0.0768817204301075,10.34147465437788,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.212903225806452,-0.2123809523809524,1.680952380952381,0.2339622641509434,2.770754716981132,2.5516483516483515,18.21238095238095,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7162790697674417,8.227102803738317,12.722018348623854,0.1623931623931624,2.0703389830508474,1.670873786407767,9.772897196261685,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.653658536585365,-1.865040650406504,6.955825242718447,0.0977777777777777,0.0,0.1121019108280254,19.865040650406502,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.886057692307691,15.64390243902439,22.903846153846157,0.0,0.2851851851851852,0.7335403726708075,2.844715447154472,0.4886178861788618,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.604784688995216,0.0593301435406698,5.71866028708134,0.42,4.850450450450451,3.8685714285714288,17.94066985645933,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.20062893081761,4.826415094339622,12.805,0.0,0.8344827586206897,0.6732824427480916,13.173584905660377,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.390853658536583,21.428834355828226,27.44049079754601,0.0,1.5305084745762711,2.8090225563909774,0.1797546012269938,3.608588957055215,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7976190476190477,0.9305825242718446,3.653623188405797,0.3745283018867925,0.4590476190476191,1.4010695187165776,17.069417475728155,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.889756097560976,17.778991596638654,23.016585365853658,0.0,1.6679487179487178,4.800000000000001,1.242016806722689,1.0210084033613445,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.458282208588958,-3.3190184049079754,2.8398773006134967,0.0533333333333333,0.1066666666666666,0.1618705035971223,21.319018404907972,0.0,0.0,0.0,1.0,0.0
