,LOCAL_DATE,MIN_TEMPERATURE,MEAN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_SNOW,TOTAL_RAIN,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS
345,2019-12-12,0.46249999999999997,2.3609865470852016,4.213716814159292,1.365,8.881967213114754,9.770558375634517,15.639013452914797,0.0
346,2019-12-13,-0.4330357142857143,1.425,3.3334841628959277,0.3473684210526316,2.266371681415929,2.344736842105263,16.575,0.0
347,2019-12-14,-1.3474654377880184,0.5768518518518518,2.51712962962963,0.563963963963964,0.5627272727272727,1.0596774193548386,17.423148148148147,0.0
348,2019-12-15,-3.6160550458715592,-0.8631336405529955,1.9495454545454545,0.2814159292035398,2.272566371681416,1.8534031413612566,18.863133640552995,0.0
349,2019-12-16,-3.681363636363636,-0.718348623853211,2.2369863013698628,2.284873949579832,8.052066115702479,8.223560209424084,18.71834862385321,0.0
350,2019-12-17,0.020627802690582925,2.4438914027149323,4.800900900900901,0.9271186440677966,10.342500000000001,10.484615384615385,15.556108597285068,0.0
351,2019-12-18,0.6132743362831858,2.399103139013453,4.143555555555555,1.370940170940171,9.673109243697478,9.277157360406092,15.600896860986547,0.0
352,2019-12-19,-0.5465753424657533,1.5680555555555555,3.662672811059908,3.042857142857143,13.81578947368421,14.245549738219896,16.431944444444444,0.0
353,2019-12-20,0.09302325581395349,2.0462264150943397,3.9507042253521125,2.44375,11.24070796460177,13.111052631578946,15.95377358490566,0.0
354,2019-12-21,-0.034562211981566844,1.6111627906976742,3.2627906976744185,0.5709090909090909,5.051818181818183,5.940106951871657,16.388837209302324,0.0
355,2019-12-22,-1.5171296296296295,0.6502325581395348,2.8442922374429225,0.32321428571428573,0.779646017699115,1.05,17.349767441860465,0.0
356,2019-12-23,-2.5775784753363227,-0.36081081081081084,1.8798206278026905,0.21228070175438596,2.3217391304347825,2.141578947368421,18.36081081081081,0.0
357,2019-12-24,-2.2129032258064516,-0.2123809523809524,1.680952380952381,0.2339622641509434,2.770754716981132,2.5516483516483515,18.21238095238095,0.0
358,2019-12-25,-3.6834123222748816,-0.9951923076923077,1.5628571428571427,0.13980582524271845,0.7776699029126214,0.7262569832402235,18.995192307692307,0.0
359,2019-12-26,-3.65,-1.106,1.3341463414634147,1.2980392156862746,4.777669902912621,4.918539325842697,19.105999999999998,0.0
360,2019-12-27,-2.7186915887850467,-0.14218009478672985,2.3784037558685447,0.38476190476190475,2.8876190476190473,2.704945054945055,18.14218009478673,0.0
361,2019-12-28,-1.2537383177570094,0.9967136150234742,3.2214953271028035,0.3811320754716981,4.179245283018868,4.546195652173913,17.003286384976526,0.0
362,2019-12-29,-0.4154929577464789,1.822857142857143,4.029577464788733,0.011214953271028037,2.4814814814814814,1.8054347826086956,16.177142857142858,0.0
363,2019-12-30,-0.10365296803652968,2.147926267281106,4.341552511415525,2.3557522123893806,17.753508771929827,15.056084656084655,15.852073732718894,0.0
364,2019-12-31,2.1148148148148147,3.8589622641509433,5.473239436619718,4.576363636363636,15.389090909090909,19.948387096774194,14.141037735849057,0.0
365,2020-01-01,0.9767441860465116,3.8065420560747665,6.66986301369863,0.7785714285714286,2.1557522123893804,3.671808510638298,14.193457943925234,0.0
366,2020-01-02,-2.3161434977578477,0.6723981900452488,3.7208144796380087,3.738461538461538,18.32857142857143,16.078125,17.32760180995475,0.0
367,2020-01-03,-1.1393518518518517,2.6680751173708916,6.418309859154929,2.927433628318584,11.734513274336283,16.419148936170213,15.331924882629107,0.0
368,2020-01-04,-0.9331775700934579,2.0427230046948357,5.029577464788733,0.5908256880733945,6.1211009174311934,6.403208556149733,15.957276995305165,0.0
369,2020-01-05,-1.871627906976744,0.9910798122065727,3.9625,1.8678571428571427,7.271428571428571,7.888829787234042,17.00892018779343,0.0
370,2020-01-06,-3.2823529411764705,-0.7109090909090909,1.927027027027027,2.993162393162393,13.532773109243696,12.508854166666666,18.71090909090909,0.0
371,2020-01-07,-2.2944954128440367,0.31822429906542055,2.8850467289719623,2.8135135135135134,8.889380530973451,12.11720430107527,17.68177570093458,0.0
372,2020-01-08,-4.274311926605504,-1.350925925925926,1.5123287671232877,1.1568965517241379,0.6603448275862068,2.236021505376344,19.350925925925928,0.0
373,2020-01-09,-6.76605504587156,-3.6662037037037036,-0.5766055045871559,2.6087719298245613,5.645217391304349,5.77027027027027,21.6662037037037,0.0
374,2020-01-10,-5.452272727272727,-2.607943925233645,0.2525581395348837,4.2625,10.817699115044249,13.473513513513513,20.607943925233645,0.0
375,2020-01-11,-4.349765258215962,-1.9132075471698113,0.5075117370892019,3.0190909090909095,4.197272727272727,6.1391061452513975,19.91320754716981,0.0
376,2020-01-12,-10.063902439024389,-6.226960784313725,-2.2507246376811594,3.8440366972477062,1.3990825688073394,5.054878048780488,24.226960784313725,0.0
377,2020-01-13,-15.468609865470851,-12.660633484162895,-9.884162895927602,1.077777777777778,0.003418803418803419,0.948235294117647,30.660633484162897,0.0
378,2020-01-14,-17.06605504587156,-14.57638888888889,-12.209216589861752,4.989565217391304,0.0765217391304348,3.6850299401197604,32.576388888888886,0.0
379,2020-01-15,-16.875454545454545,-12.95,-8.960648148148149,7.461538461538462,1.9367521367521368,7.2164705882352935,30.95,0.0
380,2020-01-16,-13.32394366197183,-9.787203791469194,-6.124074074074074,3.345833333333333,0.5923728813559322,3.752513966480447,27.787203791469196,0.0
381,2020-01-17,-12.27927927927928,-8.264516129032259,-4.345412844036697,2.431304347826087,4.21304347826087,5.01046511627907,26.264516129032256,0.0
382,2020-01-18,-9.29178082191781,-5.043778801843318,-0.8077981651376146,2.347787610619469,11.470270270270271,11.229378531073445,23.043778801843317,0.0
383,2020-01-19,-3.3366197183098594,-0.262085308056872,2.8772093023255816,1.471559633027523,10.2,9.660220994475138,18.26208530805687,0.0
384,2020-01-20,-0.5823529411764705,2.3073059360730594,5.181363636363637,0.48067226890756304,5.8890756302521,5.5873684210526315,15.69269406392694,0.0
385,2020-01-21,-0.4638392857142857,2.0896396396396395,4.611659192825113,1.275,7.409166666666667,7.376165803108808,15.91036036036036,0.0
386,2020-01-22,-0.2267857142857143,2.3220720720720722,4.846846846846847,1.0165289256198347,21.163636363636364,16.09175257731959,15.677927927927929,0.0
387,2020-01-23,1.4290178571428573,3.7662162162162165,6.104504504504504,0.476271186440678,12.476666666666667,11.88586387434555,14.233783783783784,0.0
388,2020-01-24,1.9986238532110092,4.374766355140187,6.642592592592592,0.443859649122807,7.7843478260869565,7.575806451612903,13.625233644859813,0.0
389,2020-01-25,0.984931506849315,3.3981566820276496,5.809677419354839,0.5964601769911505,4.7176991150442475,3.99247311827957,14.60184331797235,0.0
390,2020-01-26,0.821860465116279,3.6439252336448598,6.514611872146119,0.7789473684210526,6.656521739130435,6.169148936170212,14.356074766355139,0.0
391,2020-01-27,0.41116071428571427,3.212162162162162,6.019369369369369,0.48135593220338985,7.123333333333333,5.99119170984456,14.787837837837838,0.0
392,2020-01-28,0.14062500000000003,2.8632286995515694,5.567857142857143,0.5466666666666666,9.751639344262296,7.327692307692308,15.13677130044843,0.0
393,2020-01-29,0.47162162162162163,3.6113636363636363,6.74,0.3460869565217391,6.286324786324786,7.558421052631578,14.388636363636364,0.0
394,2020-01-30,-0.5837837837837837,2.751598173515982,5.9790909090909095,0.7008695652173913,17.300862068965518,13.513684210526316,15.248401826484018,0.0
395,2020-01-31,1.2950672645739911,4.410502283105023,7.428054298642533,1.1600000000000001,35.46,31.16580310880829,13.589497716894977,0.0
396,2020-02-01,-0.6014705882352941,3.150990099009901,6.958128078817734,1.3254545454545457,3.05,6.923863636363635,14.849009900990099,0.0
397,2020-02-02,-4.905990783410138,-1.4324074074074074,2.165296803652968,1.0106194690265486,2.557017543859649,3.0115384615384615,19.432407407407407,0.0
398,2020-02-03,-6.895575221238938,-3.033482142857143,0.9004464285714285,1.496551724137931,2.3278260869565215,3.1870967741935483,21.033482142857142,0.0
399,2020-02-04,-5.64669603524229,-2.678125,0.25466666666666665,4.2406779661016945,10.554166666666667,12.036842105263158,20.678124999999998,0.0
400,2020-02-05,-2.423981900452489,-0.14045454545454547,2.1,2.075,3.7355371900826446,6.485106382978723,18.140454545454546,0.0
401,2020-02-06,-1.5427312775330395,0.7551111111111112,3.0364444444444447,0.9777777777777779,3.653781512605042,4.325,17.244888888888887,0.0
402,2020-02-07,-2.157918552036199,0.5824884792626728,3.2944954128440367,2.2813559322033896,8.487394957983193,8.837967914438503,17.417511520737328,0.0
403,2020-02-08,-2.490045248868778,1.0420091324200913,4.566666666666666,0.24642857142857144,0.23750000000000002,0.9605405405405405,16.95799086757991,0.0
404,2020-02-09,-3.829090909090909,0.05642201834862382,4.0,0.17565217391304347,0.5448275862068965,0.5566844919786096,17.943577981651377,0.0
405,2020-02-10,-2.986784140969163,0.9328888888888889,4.814159292035399,0.255,1.8491666666666666,1.493193717277487,17.06711111111111,0.0
406,2020-02-11,-1.0253275109170306,2.684070796460177,6.348230088495575,0.3644067796610169,0.5440677966101695,1.3333333333333333,15.315929203539824,0.0
407,2020-02-12,-1.8808035714285716,1.5547511312217195,4.9928251121076235,0.1658119658119658,3.5683760683760686,2.82010582010582,16.445248868778283,0.0
408,2020-02-13,-0.7294117647058823,2.2022935779816515,5.037387387387387,1.3305084745762712,2.8831932773109243,4.141269841269842,15.797706422018349,0.0
409,2020-02-14,-1.2155555555555555,2.1225225225225226,5.497757847533633,0.5196581196581196,5.0288135593220336,4.154210526315789,15.877477477477479,0.0
410,2020-02-15,-0.42935779816513764,2.2106481481481484,4.849074074074075,0.4442477876106195,2.8123893805309734,3.3550802139037432,15.789351851851851,0.0
411,2020-02-16,-2.2548387096774194,0.9934883720930232,4.268055555555556,0.4189189189189189,1.3486486486486486,1.9657608695652173,17.006511627906978,0.0
