x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-115.78194444444445,49.61222222222222,,,8.5,8,70,20,,1152105.2019.8.28,,,2019,,0,,0,,28,BC,28,CRANBROOK A,31.4,2,1152105,0,13,,,39,2019-08-28 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,8.6,8,73,19.5,,1152105.2019.8.29,,,2019,,0,,0,,20,BC,29,CRANBROOK A,30.3,1.5,1152105,0,21,,,54,2019-08-29 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,11.7,8,91,16.8,M,1152105.2019.8.30,,,2019,,,M,1.2,M,17,BC,30,CRANBROOK A,21.9,0,1152105,,42,,,,2019-08-30 00:00:00,,,1.2,,
-115.78194444444445,49.61222222222222,,,9.6,8,99,18.8,,1152105.2019.8.31,,,2019,,0,,0,,1,BC,31,CRANBROOK A,28,0.8,1152105,0,33,,,39,2019-08-31 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,10.2,9,88,19.8,,1152105.2019.9.1,,,2019,,0,,0,,21,BC,1,CRANBROOK A,29.3,1.8,1152105,0,25,,,46,2019-09-01 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,8.5,9,91,18.3,,1152105.2019.9.2,,,2019,,0,,0,M,,BC,2,CRANBROOK A,28.1,0.3,1152105,0,26,M,,,2019-09-02 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,7.7,9,77,18.2,,1152105.2019.9.3,,,2019,,0,,0,M,12,BC,3,CRANBROOK A,28.7,0.2,1152105,0,26,,,,2019-09-03 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,M,M,,9,,,,1152105.2019.9.4,M,,2019,M,0,,,,21,BC,4,CRANBROOK A,,,1152105,0,,,M,37,2019-09-04 00:00:00,M,M,0,,
-115.78194444444445,49.61222222222222,,,8.1,9,75,18.4,,1152105.2019.9.5,,,2019,,0,,0,M,,BC,5,CRANBROOK A,28.6,0.4,1152105,0,20,M,,,2019-09-05 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,11.4,9,96,15.7,M,1152105.2019.9.6,,,2019,,,M,2.3,M,12,BC,6,CRANBROOK A,20,0,1152105,,47,,,,2019-09-06 00:00:00,,,0.2,,
-115.78194444444445,49.61222222222222,,,7,9,99,14.2,,1152105.2019.9.7,,,2019,,0,,3.8,M,,BC,7,CRANBROOK A,21.3,0,1152105,0,56,M,,,2019-09-07 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,10.5,9,98,16.7,,1152105.2019.9.8,,,2019,,0,,1.3,,25,BC,8,CRANBROOK A,22.9,0,1152105,12,43,,,37,2019-09-08 00:00:00,,,12,,
-115.78194444444445,49.61222222222222,,,10.2,9,98,11.8,M,1152105.2019.9.9,,,2019,,,M,6.2,M,,BC,9,CRANBROOK A,13.3,0,1152105,,86,M,,,2019-09-09 00:00:00,,,20.8,,
-115.78194444444445,49.61222222222222,,,9,9,98,12.6,M,1152105.2019.9.10,,,2019,,,M,5.4,M,,BC,10,CRANBROOK A,16.1,0,1152105,,62,M,,,2019-09-10 00:00:00,,,4.4,,
-115.78194444444445,49.61222222222222,,,7.4,9,97,13.8,,1152105.2019.9.11,,,2019,,0,,4.2,M,,BC,11,CRANBROOK A,20.2,0,1152105,0,44,M,,,2019-09-11 00:00:00,,,0,,
-115.78194444444445,49.61222222222222,,,6.2,9,97,14.1,M,1152105.2019.9.12,,,2019,,,M,3.9,,11,BC,12,CRANBROOK A,22,0,1152105,,37,,,37,2019-09-12 00:00:00,,,0.2,,
