x,y,MIN_TEMPERATURE,MEAN_TEMPERATURE,PROVINCE_CODE,SPEED_MAX_GUST,TOTAL_SNOW,DIRECTION_MAX_GUST,LOCAL_DATE,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,ID,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,LOCAL_YEAR,STATION_NAME,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS_FLAG
-120.5125,49.467777777777776,6,10.3,BC,,0,,2020-06-14 00:00:00,,6,,,9.2,,7.7,0,9.2,,1126510.2020.6.14,,1126510,,,,14.5,14,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,2,9.5,BC,,0,,2020-06-15 00:00:00,,6,,,0.6,,8.5,0,0.6,,1126510.2020.6.15,,1126510,,,,17,15,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7,13.8,BC,,0,,2020-06-16 00:00:00,,6,,,3.2,,4.2,0,3.2,,1126510.2020.6.16,,1126510,,,,20.5,16,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,2.5,12.3,BC,,0,,2020-06-17 00:00:00,,6,,,0,,5.7,0,0,,1126510.2020.6.17,,1126510,,,,22,17,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,4.5,16.3,BC,,0,,2020-06-18 00:00:00,,6,,,0,,1.7,0,0,,1126510.2020.6.18,,1126510,,,,28,18,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7.5,18.3,BC,,0,,2020-06-19 00:00:00,,6,,,0.4,,0,0.3,0.4,,1126510.2020.6.19,,1126510,,,,29,19,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,14,18.5,BC,,0,,2020-06-20 00:00:00,,6,T,,0,T,0,0.5,0,,1126510.2020.6.20,,1126510,,,,23,20,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,12,17.5,BC,,0,,2020-06-21 00:00:00,,6,,,0,,0.5,0,0,,1126510.2020.6.21,,1126510,,,,23,21,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,5.5,17.3,BC,,0,,2020-06-22 00:00:00,,6,,,0,,0.7,0,0,,1126510.2020.6.22,,1126510,,,,29,22,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,19.8,BC,,0,,2020-06-23 00:00:00,,6,,,2.6,,0,1.8,2.6,,1126510.2020.6.23,,1126510,,,,29.5,23,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,13,18.5,BC,,0,,2020-06-24 00:00:00,,6,,,0.2,,0,0.5,0.2,,1126510.2020.6.24,,1126510,,,,24,24,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7.5,18.8,BC,,0,,2020-06-25 00:00:00,,6,,,0,,0,0.8,0,,1126510.2020.6.25,,1126510,,,,30,25,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,18.3,BC,,0,,2020-06-26 00:00:00,,6,,,0,,0,0.3,0,,1126510.2020.6.26,,1126510,,,,26.5,26,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11.5,16,BC,,0,,2020-06-27 00:00:00,,6,,,3,,2,0,3,,1126510.2020.6.27,,1126510,,,,20.5,27,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,9,14.5,BC,,0,,2020-06-28 00:00:00,,6,,,1.4,,3.5,0,1.4,,1126510.2020.6.28,,1126510,,,,20,28,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,5.5,15.8,BC,,0,,2020-06-29 00:00:00,,6,T,,0,T,2.2,0,0,,1126510.2020.6.29,,1126510,,,,26,29,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,15,BC,,0,,2020-06-30 00:00:00,,6,,,0.8,,3,0,0.8,,1126510.2020.6.30,,1126510,,,,19,30,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,9.5,12.3,BC,,0,,2020-07-01 00:00:00,,7,,,4,,5.7,0,4,,1126510.2020.7.1,,1126510,,,,15,1,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8.5,14,BC,,0,,2020-07-02 00:00:00,,7,,,0,,4,0,0,,1126510.2020.7.2,,1126510,,,,19.5,2,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,6,12.3,BC,,0,,2020-07-03 00:00:00,,7,T,,0,T,5.7,0,0,,1126510.2020.7.3,,1126510,,,,18.5,3,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,5.5,13.5,BC,,0,,2020-07-04 00:00:00,,7,,,0,,4.5,0,0,,1126510.2020.7.4,,1126510,,,,21.5,4,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,3.5,15.3,BC,,0,,2020-07-05 00:00:00,,7,,,0,,2.7,0,0,,1126510.2020.7.5,,1126510,,,,27,5,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8,16.3,BC,,0,,2020-07-06 00:00:00,,7,,,8.2,,1.7,0,8.2,,1126510.2020.7.6,,1126510,,,,24.5,6,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8.5,14,BC,,0,,2020-07-07 00:00:00,,7,,,0,,4,0,0,,1126510.2020.7.7,,1126510,,,,19.5,7,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7.5,15,BC,,0,,2020-07-08 00:00:00,,7,,,0.8,,3,0,0.8,,1126510.2020.7.8,,1126510,,,,22.5,8,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,6,16,BC,,0,,2020-07-11 00:00:00,,7,,,0.6,,2,0,0.6,,1126510.2020.7.11,,1126510,,,,26,11,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,14.5,BC,,0,,2020-07-12 00:00:00,,7,,,0.4,,3.5,0,0.4,,1126510.2020.7.12,,1126510,,,,19,12,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,2,13.3,BC,,0,,2020-07-13 00:00:00,,7,,,0,,4.7,0,0,,1126510.2020.7.13,,1126510,,,,24.5,13,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,4.5,16.3,BC,,0,,2020-07-14 00:00:00,,7,,,0,,1.7,0,0,,1126510.2020.7.14,,1126510,,,,28,14,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7,18,BC,,0,,2020-07-15 00:00:00,,7,,,0,,0,0,0,,1126510.2020.7.15,,1126510,,,,29,15,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,18.8,BC,,0,,2020-07-16 00:00:00,,7,,,0,,0,0.8,0,,1126510.2020.7.16,,1126510,,,,27.5,16,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,12.5,19.8,BC,,0,,2020-07-17 00:00:00,,7,,,0,,0,1.8,0,,1126510.2020.7.17,,1126510,,,,27,17,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7.5,19,BC,,0,,2020-07-18 00:00:00,,7,,,0,,0,1,0,,1126510.2020.7.18,,1126510,,,,30.5,18,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,9.5,20.3,BC,,0,,2020-07-19 00:00:00,,7,,,0,,0,2.3,0,,1126510.2020.7.19,,1126510,,,,31,19,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,21.5,BC,,0,,2020-07-20 00:00:00,,7,,,0,,0,3.5,0,,1126510.2020.7.20,,1126510,,,,33,20,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,12.5,22.8,BC,,0,,2020-07-21 00:00:00,,7,,,0,,0,4.8,0,,1126510.2020.7.21,,1126510,,,,33,21,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11.5,20.5,BC,,0,,2020-07-22 00:00:00,,7,,,0,,0,2.5,0,,1126510.2020.7.22,,1126510,,,,29.5,22,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,9.5,17.3,BC,,0,,2020-07-23 00:00:00,,7,,,0,,0.7,0,0,,1126510.2020.7.23,,1126510,,,,25,23,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,13.5,17,BC,,0,,2020-07-24 00:00:00,,7,T,,0,T,1,0,0,,1126510.2020.7.24,,1126510,,,,20.5,24,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,4,16,BC,,0,,2020-07-25 00:00:00,,7,,,0,,2,0,0,,1126510.2020.7.25,,1126510,,,,28,25,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,7.5,20.5,BC,,0,,2020-07-26 00:00:00,,7,,,0,,0,2.5,0,,1126510.2020.7.26,,1126510,,,,33.5,26,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,23.5,BC,,0,,2020-07-27 00:00:00,,7,,,0,,0,5.5,0,,1126510.2020.7.27,,1126510,,,,37,27,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,22.3,BC,,0,,2020-07-28 00:00:00,,7,,,0,,0,4.3,0,,1126510.2020.7.28,,1126510,,,,33.5,28,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8,22,BC,,0,,2020-07-29 00:00:00,,7,,,0,,0,4,0,,1126510.2020.7.29,,1126510,,,,36,29,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,24.5,BC,,0,,2020-07-30 00:00:00,,7,,,0,,0,6.5,0,,1126510.2020.7.30,,1126510,,,,38,30,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,12,25.3,BC,,0,,2020-07-31 00:00:00,,7,,,0.2,,0,7.3,0.2,,1126510.2020.7.31,,1126510,,,,38.5,31,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,21.8,BC,,0,,2020-08-01 00:00:00,,8,,,0,,0,3.8,0,,1126510.2020.8.1,,1126510,,,,32.5,1,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,10,20.8,BC,,0,,2020-08-02 00:00:00,,8,,,0,,0,2.8,0,,1126510.2020.8.2,,1126510,,,,31.5,2,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,18.5,BC,,0,,2020-08-03 00:00:00,,8,,,0,,0,0.5,0,,1126510.2020.8.3,,1126510,,,,26,3,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8,20.5,BC,,0,,2020-08-04 00:00:00,,8,,,0,,0,2.5,0,,1126510.2020.8.4,,1126510,,,,33,4,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,21.5,BC,,0,,2020-08-05 00:00:00,,8,,,0,,0,3.5,0,,1126510.2020.8.5,,1126510,,,,32,5,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8.5,14.5,BC,,0,,2020-08-06 00:00:00,,8,,,0,,3.5,0,0,,1126510.2020.8.6,,1126510,,,,20.5,6,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,9.5,15.5,BC,,0,,2020-08-07 00:00:00,,8,,,2,,2.5,0,2,,1126510.2020.8.7,,1126510,,,,21.5,7,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,11,16.5,BC,,0,,2020-08-08 00:00:00,,8,,,0,,1.5,0,0,,1126510.2020.8.8,,1126510,,,,22,8,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,4.5,16,BC,,0,,2020-08-09 00:00:00,,8,,,0,,2,0,0,,1126510.2020.8.9,,1126510,,,,27.5,9,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8.5,18.3,BC,,0,,2020-08-10 00:00:00,,8,,,0,,0,0.3,0,,1126510.2020.8.10,,1126510,,,,28,10,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,6.5,16,BC,,0,,2020-08-11 00:00:00,,8,,,0,,2,0,0,,1126510.2020.8.11,,1126510,,,,25.5,11,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,6,13.8,BC,,0,,2020-08-12 00:00:00,,8,,,0,,4.2,0,0,,1126510.2020.8.12,,1126510,,,,21.5,12,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,4.5,14,BC,,0,,2020-08-13 00:00:00,,8,,,0,,4,0,0,,1126510.2020.8.13,,1126510,,,,23.5,13,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,3.5,16.3,BC,,0,,2020-08-14 00:00:00,,8,,,0,,1.7,0,0,,1126510.2020.8.14,,1126510,,,,29,14,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,8.5,21.8,BC,,0,,2020-08-15 00:00:00,,8,,,0,,0,3.8,0,,1126510.2020.8.15,,1126510,,,,35,15,,2020,PRINCETON A,,0,,,,
-120.5125,49.467777777777776,9,23.5,BC,,0,,2020-08-16 00:00:00,,8,,,0,,0,5.5,0,,1126510.2020.8.16,,1126510,,,,38,16,,2020,PRINCETON A,,0,,,,
