x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-119.28952777777778,52.12902777777778,,,-11,12,,-7.8,,1160899.2019.12.16,,,2019,,18.2,,25.8,,,BC,16,BLUE RIVER A,-4.5,0,1160899,0,,,,,2019-12-16 00:00:00,,,16.6,35,
-119.28952777777778,52.12902777777778,,,-5.5,12,,-3,,1160899.2019.12.17,,,2019,,12.6,,21,,,BC,17,BLUE RIVER A,-0.5,0,1160899,0,,,,,2019-12-17 00:00:00,,,9.2,48,
-119.28952777777778,52.12902777777778,,,-2.5,12,,-1,,1160899.2019.12.18,,,2019,,18.6,,19,,,BC,18,BLUE RIVER A,0.5,0,1160899,0,,,,,2019-12-18 00:00:00,,,15.6,60,
-119.28952777777778,52.12902777777778,,,-1.5,12,,-0.8,,1160899.2019.12.19,,,2019,,9.2,,18.8,,,BC,19,BLUE RIVER A,0,0,1160899,0,,,,,2019-12-19 00:00:00,,,5.2,73,
-119.28952777777778,52.12902777777778,,,-2.5,12,,-1.5,,1160899.2019.12.20,,,2019,,12.8,,19.5,,,BC,20,BLUE RIVER A,-0.5,0,1160899,0,,,,,2019-12-20 00:00:00,,,11.8,78,
-119.28952777777778,52.12902777777778,,,-1.5,12,,-0.5,,1160899.2019.12.21,,,2019,,3.8,,18.5,,,BC,21,BLUE RIVER A,0.5,0,1160899,0,,,,,2019-12-21 00:00:00,,,3.6,88,
-119.28952777777778,52.12902777777778,,,-4,12,,-2.5,,1160899.2019.12.22,,,2019,,0.2,,20.5,,,BC,22,BLUE RIVER A,-1,0,1160899,0,,,,,2019-12-22 00:00:00,,,0.2,80,
-119.28952777777778,52.12902777777778,,,-8,12,,-7.5,,1160899.2019.12.23,,,2019,,0,,25.5,,,BC,23,BLUE RIVER A,-7,0,1160899,0,,,,,2019-12-23 00:00:00,,,0,75,
-119.28952777777778,52.12902777777778,,,-11.5,12,,-9.3,T,1160899.2019.12.24,,,2019,,0,,27.3,,,BC,24,BLUE RIVER A,-7,0,1160899,0,,,,,2019-12-24 00:00:00,,,0,73,
-119.28952777777778,52.12902777777778,,,-16,12,,-11.5,,1160899.2019.12.25,,,2019,,0,,29.5,,,BC,25,BLUE RIVER A,-7,0,1160899,0,,,,,2019-12-25 00:00:00,,,0,70,
-119.28952777777778,52.12902777777778,,,-10.5,12,,-8.8,,1160899.2019.12.26,,,2019,,14,,26.8,,,BC,26,BLUE RIVER A,-7,0,1160899,0,,,,,2019-12-26 00:00:00,,,5.2,68,
-119.28952777777778,52.12902777777778,,,-8.5,12,,-6.3,,1160899.2019.12.27,,,2019,,3,,24.3,,,BC,27,BLUE RIVER A,-4,0,1160899,0,,,,,2019-12-27 00:00:00,,,0.8,79,
-119.28952777777778,52.12902777777778,,,-12,12,,-8.3,,1160899.2019.12.28,,,2019,,1,,26.3,,,BC,28,BLUE RIVER A,-4.5,0,1160899,0,,,,,2019-12-28 00:00:00,,,0.2,78,
-119.28952777777778,52.12902777777778,,,-6,12,,-4.3,,1160899.2019.12.29,,,2019,,0,,22.3,,,BC,29,BLUE RIVER A,-2.5,0,1160899,0,,,,,2019-12-29 00:00:00,,,0,78,
-119.28952777777778,52.12902777777778,,,-5.5,12,,-3.8,,1160899.2019.12.30,,,2019,,14.2,,21.8,,,BC,30,BLUE RIVER A,-2,0,1160899,0,,,,,2019-12-30 00:00:00,,,14.8,76,
-119.28952777777778,52.12902777777778,,,-2.5,12,,-1.5,,1160899.2019.12.31,,,2019,,22.8,,19.5,,,BC,31,BLUE RIVER A,-0.5,0,1160899,0,,,,,2019-12-31 00:00:00,,,17,88,
-119.28952777777778,52.12902777777778,,,-1.5,1,,-0.3,,1160899.2020.1.1,,,2020,,3.6,,18.3,,,BC,1,BLUE RIVER A,1,0,1160899,0,,,,,2020-01-01 00:00:00,,,2.4,108,
-119.28952777777778,52.12902777777778,,,-9.5,1,,-6,,1160899.2020.1.2,,,2020,,12.6,,24,,,BC,2,BLUE RIVER A,-2.5,0,1160899,0,,,,,2020-01-02 00:00:00,,,10.2,100,
-119.28952777777778,52.12902777777778,,,-8,1,,-2,,1160899.2020.1.3,,,2020,,9,,20,,,BC,3,BLUE RIVER A,4,0,1160899,2,,,,,2020-01-03 00:00:00,,,10.8,112,
-119.28952777777778,52.12902777777778,,,-4,1,,-0.8,,1160899.2020.1.4,,,2020,,1,,18.8,,,BC,4,BLUE RIVER A,2.5,0,1160899,0,,,,,2020-01-04 00:00:00,,,0.6,112,
-119.28952777777778,52.12902777777778,,,-5.5,1,,-1.8,,1160899.2020.1.5,,,2020,,3.8,,19.8,,,BC,5,BLUE RIVER A,2,0,1160899,0,,,,,2020-01-05 00:00:00,,,2.4,105,
-119.28952777777778,52.12902777777778,,,-15,1,,-9.5,T,1160899.2020.1.6,,,2020,,0,,27.5,,,BC,6,BLUE RIVER A,-4,0,1160899,0,,,,,2020-01-06 00:00:00,,,0,105,
-119.28952777777778,52.12902777777778,,,-7.5,1,,-5.3,,1160899.2020.1.7,,,2020,,24.2,,23.3,,,BC,7,BLUE RIVER A,-3,0,1160899,0,,,,,2020-01-07 00:00:00,,,20.2,103,
-119.28952777777778,52.12902777777778,,,-7.5,1,,-5,,1160899.2020.1.8,,,2020,,0.6,,23,,,BC,8,BLUE RIVER A,-2.5,0,1160899,0,,,,,2020-01-08 00:00:00,,,0,122,
-119.28952777777778,52.12902777777778,,,-20.5,1,,-15.3,,1160899.2020.1.9,,,2020,,2.8,,33.3,,,BC,9,BLUE RIVER A,-10,0,1160899,0,,,,,2020-01-09 00:00:00,,,1,112,
-119.28952777777778,52.12902777777778,,,-17,1,,-13,,1160899.2020.1.10,,,2020,,12.2,,31,,,BC,10,BLUE RIVER A,-9,0,1160899,0,,,,,2020-01-10 00:00:00,,,6.2,112,
-119.28952777777778,52.12902777777778,,,-11.5,1,,-8.8,,1160899.2020.1.11,,,2020,,7.6,,26.8,,,BC,11,BLUE RIVER A,-6,0,1160899,0,,,,,2020-01-11 00:00:00,,,3.2,122,
-119.28952777777778,52.12902777777778,,,-16,1,,-15.5,,1160899.2020.1.12,,,2020,,2.2,,33.5,,,BC,12,BLUE RIVER A,-15,0,1160899,0,,,,,2020-01-12 00:00:00,,,1.8,110,
-119.28952777777778,52.12902777777778,,,-27.5,1,,-24,T,1160899.2020.1.13,,,2020,,0,,42,,,BC,13,BLUE RIVER A,-20.5,0,1160899,0,,,,,2020-01-13 00:00:00,,,0,95,
-119.28952777777778,52.12902777777778,,,-42,1,,-34,,1160899.2020.1.14,,,2020,,0.8,,52,,,BC,14,BLUE RIVER A,-26,0,1160899,0,,,,,2020-01-14 00:00:00,,,0,95,
-119.28952777777778,52.12902777777778,,,-36,1,,-27,,1160899.2020.1.15,,,2020,,2.2,,45,,,BC,15,BLUE RIVER A,-18,0,1160899,0,,,,,2020-01-15 00:00:00,,,0.8,95,
-119.28952777777778,52.12902777777778,,,-23.5,1,,-19.3,,1160899.2020.1.16,,,2020,,1,,37.3,,,BC,16,BLUE RIVER A,-15,0,1160899,0,,,,,2020-01-16 00:00:00,,,0.2,96,
-119.28952777777778,52.12902777777778,,,-17,1,,-15.8,,1160899.2020.1.17,,,2020,,0.2,,33.8,,,BC,17,BLUE RIVER A,-14.5,0,1160899,0,,,,,2020-01-17 00:00:00,,,0,95,
-119.28952777777778,52.12902777777778,,,-24.5,1,,-17.8,,1160899.2020.1.18,,,2020,,8.8,,35.8,,,BC,18,BLUE RIVER A,-11,0,1160899,0,,,,,2020-01-18 00:00:00,,,5.4,95,
-119.28952777777778,52.12902777777778,,,-14.5,1,,-10.3,,1160899.2020.1.19,,,2020,,2.2,,28.3,,,BC,19,BLUE RIVER A,-6,0,1160899,0,,,,,2020-01-19 00:00:00,,,1.4,102,
-119.28952777777778,52.12902777777778,,,-7.5,1,,-4.5,,1160899.2020.1.20,,,2020,,0.4,,22.5,,,BC,20,BLUE RIVER A,-1.5,0,1160899,1.8,,,,,2020-01-20 00:00:00,,,2,103,
-119.28952777777778,52.12902777777778,,,-3,1,,-1.3,,1160899.2020.1.21,,,2020,,4.8,,19.3,,,BC,21,BLUE RIVER A,0.5,0,1160899,1.8,,,,,2020-01-21 00:00:00,,,6,100,
-119.28952777777778,52.12902777777778,,,-1.5,1,,-0.3,,1160899.2020.1.22,,,2020,,7.2,T,18.3,,,BC,22,BLUE RIVER A,1,0,1160899,0,,,,,2020-01-22 00:00:00,,,7.2,95,
-119.28952777777778,52.12902777777778,,,-0.5,1,,0,,1160899.2020.1.23,,,2020,,2.2,,18,,,BC,23,BLUE RIVER A,0.5,0,1160899,8.8,,,,,2020-01-23 00:00:00,,,11,100,
