x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-125.0327675,49.68644166666667,,,-3,3,,3.8,,1021989.2021.3.23,,,2021,,0,,14.2,,,BC,23,COURTENAY PUNTLEDGE,10.5,0,1021989,1.4,,,,,2021-03-23 00:00:00,,,1.4,0,
-125.0327675,49.68644166666667,,,-2.5,3,,4.3,,1021989.2021.3.24,,,2021,,0,,13.7,,,BC,24,COURTENAY PUNTLEDGE,11,0,1021989,1.6,,,,,2021-03-24 00:00:00,,,1.6,0,
-125.0327675,49.68644166666667,,M,-2,3,,,,1021989.2021.3.25,,,2021,,,,,,,BC,25,COURTENAY PUNTLEDGE,,,1021989,,,,M,,2021-03-25 00:00:00,M,M,,0,
-125.0327675,49.68644166666667,M,M,,3,,,,1021989.2021.3.26,,,2021,,0,,,,,BC,26,COURTENAY PUNTLEDGE,13.5,,1021989,0,,,M,,2021-03-26 00:00:00,,M,0,,
-125.0327675,49.68644166666667,,M,-2,3,,,,1021989.2021.3.27,,,2021,,,,,,,BC,27,COURTENAY PUNTLEDGE,,,1021989,,,,M,,2021-03-27 00:00:00,M,M,,0,
-125.0327675,49.68644166666667,M,M,,3,,,,1021989.2021.3.28,,,2021,,0,,,,,BC,28,COURTENAY PUNTLEDGE,10,,1021989,0,,,M,,2021-03-28 00:00:00,,M,0,,
-125.0327675,49.68644166666667,,,-3.5,3,,4.3,,1021989.2021.3.29,,,2021,,0,,13.7,,,BC,29,COURTENAY PUNTLEDGE,12,0,1021989,0,,,,,2021-03-29 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,-3.5,3,,4.8,,1021989.2021.3.30,,,2021,,0,,13.2,,,BC,30,COURTENAY PUNTLEDGE,13,0,1021989,0,,,,,2021-03-30 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,-3,3,,4.8,,1021989.2021.3.31,,,2021,,0,,13.2,,,BC,31,COURTENAY PUNTLEDGE,12.5,0,1021989,0.2,,,,,2021-03-31 00:00:00,,,0.2,0,
-125.0327675,49.68644166666667,,,-2.5,4,,6.5,,1021989.2021.4.1,,,2021,,0,,11.5,,,BC,1,COURTENAY PUNTLEDGE,15.5,0,1021989,0,,,,,2021-04-01 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,3,4,,6.5,,1021989.2021.4.2,,,2021,,0,,11.5,,,BC,2,COURTENAY PUNTLEDGE,10,0,1021989,2.4,,,,,2021-04-02 00:00:00,,,2.4,0,
-125.0327675,49.68644166666667,,,3,4,,7.5,,1021989.2021.4.3,,,2021,,0,,10.5,,,BC,3,COURTENAY PUNTLEDGE,12,0,1021989,2,,,,,2021-04-03 00:00:00,,,2,0,
-125.0327675,49.68644166666667,,,-3,4,,5.3,,1021989.2021.4.4,,,2021,,0,,12.7,,,BC,4,COURTENAY PUNTLEDGE,13.5,0,1021989,0,,,,,2021-04-04 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,-3,4,,5.5,,1021989.2021.4.5,,,2021,,0,,12.5,,,BC,5,COURTENAY PUNTLEDGE,14,0,1021989,0,,,,,2021-04-05 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,-2,4,,5.3,,1021989.2021.4.6,,,2021,,0,,12.7,,,BC,6,COURTENAY PUNTLEDGE,12.5,0,1021989,0,,,,,2021-04-06 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,0.5,4,,6.3,,1021989.2021.4.7,,,2021,,0,,11.7,,,BC,7,COURTENAY PUNTLEDGE,12,0,1021989,0.6,,,,,2021-04-07 00:00:00,,,0.6,0,
-125.0327675,49.68644166666667,,,-3.5,4,,4.5,,1021989.2021.4.8,,,2021,,0,,13.5,,,BC,8,COURTENAY PUNTLEDGE,12.5,0,1021989,0.2,,,,,2021-04-08 00:00:00,,,0.2,0,
-125.0327675,49.68644166666667,,,-2.5,4,,3.5,,1021989.2021.4.9,,,2021,,0,,14.5,,,BC,9,COURTENAY PUNTLEDGE,9.5,0,1021989,0,,,,,2021-04-09 00:00:00,,,0,0,
-125.0327675,49.68644166666667,,,-3.5,4,,4.3,,1021989.2021.4.10,,,2021,,0,,13.7,,,BC,10,COURTENAY PUNTLEDGE,12,0,1021989,3,,,,,2021-04-10 00:00:00,,,3,0,
-125.0327675,49.68644166666667,,,-4,4,,4.3,,1021989.2021.4.11,,,2021,,0,,13.7,,,BC,11,COURTENAY PUNTLEDGE,12.5,0,1021989,0.8,,,,,2021-04-11 00:00:00,,,0.8,0,
-125.0327675,49.68644166666667,,,-3.5,4,,6.8,,1021989.2021.4.12,,,2021,,0,,11.2,,,BC,12,COURTENAY PUNTLEDGE,17,0,1021989,0.2,,,,,2021-04-12 00:00:00,,,0.2,0,
