x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-117.6325,49.29611111111111,,,-7.6,1,94,-4.2,,1141460.2019.1.22,,,2019,,,,22.2,,,BC,22,CASTLEGAR A,-0.8,0,1141460,,85,,,,2019-01-22 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-5.4,1,97,-1.2,,1141460.2019.1.23,,,2019,,,,19.2,,,BC,23,CASTLEGAR A,3,0,1141460,,76,,,,2019-01-23 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-3,1,96,-1.6,,1141460.2019.1.24,,,2019,,,,19.6,,,BC,24,CASTLEGAR A,-0.2,0,1141460,,77,,,,2019-01-24 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-4.3,1,93,-1.6,,1141460.2019.1.25,,,2019,,,,19.6,,,BC,25,CASTLEGAR A,1.2,0,1141460,,74,,,,2019-01-25 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-0.2,1,87,1.2,,1141460.2019.1.26,,,2019,,,,16.8,,,BC,26,CASTLEGAR A,2.6,0,1141460,,76,,,,2019-01-26 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-1.4,1,89,2.5,,1141460.2019.1.27,,,2019,,,,15.5,,,BC,27,CASTLEGAR A,6.4,0,1141460,,42,,,,2019-01-27 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-8.3,1,95,-2.5,,1141460.2019.1.28,,,2019,,,,20.5,,,BC,28,CASTLEGAR A,3.4,0,1141460,,57,,,,2019-01-28 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-8.9,1,91,-4.7,,1141460.2019.1.29,,,2019,,,,22.7,,,BC,29,CASTLEGAR A,-0.5,0,1141460,,65,,,,2019-01-29 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-9.5,1,94,-5,,1141460.2019.1.30,,,2019,,,,23,,,BC,30,CASTLEGAR A,-0.4,0,1141460,,65,,,,2019-01-30 00:00:00,,,,,M
-117.6325,49.29611111111111,,,-3.9,1,85,-0.9,,1141460.2019.1.31,,,2019,,,,18.9,,,BC,31,CASTLEGAR A,2.2,0,1141460,,66,,,,2019-01-31 00:00:00,,,,,M
