x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-124.40313888888889,51.67455555555556,,,-2.7,3,87,5.2,,1088015.2021.3.27,,,2021,,,,12.8,,17,BC,27,TATLAYOKO LAKE RCS,13.2,0,1088015,,34,,,77,2021-03-27 00:00:00,,,0,2,
-124.40313888888889,51.67455555555556,,,-3.9,3,95,0.2,,1088015.2021.3.28,,,2021,,,,17.8,,17,BC,28,TATLAYOKO LAKE RCS,4.3,0,1088015,,48,,,51,2021-03-28 00:00:00,,,9.7,2,
-124.40313888888889,51.67455555555556,,,-4.1,3,67,0.1,,1088015.2021.3.29,,,2021,,,,17.9,,32,BC,29,TATLAYOKO LAKE RCS,4.3,0,1088015,,31,,,33,2021-03-29 00:00:00,,,0,10,
-124.40313888888889,51.67455555555556,,,-8.3,3,94,0.9,,1088015.2021.3.30,,,2021,,,,17.1,,16,BC,30,TATLAYOKO LAKE RCS,10,0,1088015,,37,,,38,2021-03-30 00:00:00,,,0,3,
-124.40313888888889,51.67455555555556,,,1.3,3,70,6.7,,1088015.2021.3.31,,,2021,,,,11.3,,16,BC,31,TATLAYOKO LAKE RCS,12,0,1088015,,20,,,54,2021-03-31 00:00:00,,,0,2,
-124.40313888888889,51.67455555555556,,,-1,4,73,4.8,,1088015.2021.4.1,,,2021,,,,13.2,,18,BC,1,TATLAYOKO LAKE RCS,10.5,0,1088015,,25,,,70,2021-04-01 00:00:00,,,0,2,
-124.40313888888889,51.67455555555556,,,-2.9,4,90,2.4,,1088015.2021.4.2,,,2021,,,,15.6,,18,BC,2,TATLAYOKO LAKE RCS,7.8,0,1088015,,38,,,35,2021-04-02 00:00:00,,,0.7,2,
-124.40313888888889,51.67455555555556,,,-2.6,4,93,0.3,,1088015.2021.4.3,,,2021,,,,17.7,,,BC,3,TATLAYOKO LAKE RCS,3.3,0,1088015,,64,,,,2021-04-03 00:00:00,,,1.9,2,
-124.40313888888889,51.67455555555556,,,-10.4,4,95,-1.1,,1088015.2021.4.4,,,2021,,,,19.1,,,BC,4,TATLAYOKO LAKE RCS,8.2,0,1088015,,30,,,,2021-04-04 00:00:00,,,0,1,
-124.40313888888889,51.67455555555556,,,-8.2,4,92,3.1,,1088015.2021.4.5,,,2021,,,,14.9,,,BC,5,TATLAYOKO LAKE RCS,14.5,0,1088015,,23,,,,2021-04-05 00:00:00,,,0,1,
