x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-123.11055833333333,50.143905277777776,,,-4.5,1,97,0.1,,1101300.2019.1.16,,,2019,,,,17.9,M,,BC,16,CALLAGHAN VALLEY,4.7,0,1101300,,64,M,,,2019-01-16 00:00:00,,,0.1,156,
-123.11055833333333,50.143905277777776,,,-4.2,1,,-1.5,,1101300.2019.1.17,M,,2019,M,,,19.5,M,,BC,17,CALLAGHAN VALLEY,1.2,0,1101300,,,M,,,2019-01-17 00:00:00,,,3.4,155,
-123.11055833333333,50.143905277777776,,,-0.2,1,,1.6,,1101300.2019.1.18,M,,2019,M,,,16.4,M,,BC,18,CALLAGHAN VALLEY,3.4,0,1101300,,,M,,,2019-01-18 00:00:00,,,16.6,160,
-123.11055833333333,50.143905277777776,,,0,1,,1.6,,1101300.2019.1.19,M,,2019,M,,,16.4,M,,BC,19,CALLAGHAN VALLEY,3.1,0,1101300,,,M,,,2019-01-19 00:00:00,,,19.3,158,
-123.11055833333333,50.143905277777776,,,-6.1,1,,-1.2,,1101300.2019.1.20,M,,2019,M,,,19.2,M,,BC,20,CALLAGHAN VALLEY,3.7,0,1101300,,,M,,,2019-01-20 00:00:00,,,0.9,158,
-123.11055833333333,50.143905277777776,,,-8.2,1,99,-3,,1101300.2019.1.21,,,2019,,,,21,M,,BC,21,CALLAGHAN VALLEY,2.1,0,1101300,,69,M,,,2019-01-21 00:00:00,,,0,156,
-123.11055833333333,50.143905277777776,,,-4.2,1,,-2.1,,1101300.2019.1.22,M,,2019,M,,,20.1,M,,BC,22,CALLAGHAN VALLEY,0.1,0,1101300,,,M,,,2019-01-22 00:00:00,,,23.5,167,
-123.11055833333333,50.143905277777776,,,-4.6,1,,-0.2,,1101300.2019.1.23,M,,2019,M,,,18.2,M,,BC,23,CALLAGHAN VALLEY,4.2,0,1101300,,,M,,,2019-01-23 00:00:00,,,8.5,185,
-123.11055833333333,50.143905277777776,,,-5,1,,-1.7,,1101300.2019.1.24,M,,2019,M,,,19.7,M,,BC,24,CALLAGHAN VALLEY,1.5,0,1101300,,,M,,,2019-01-24 00:00:00,,,0,182,
-123.11055833333333,50.143905277777776,M,M,,1,,,,1101300.2019.1.25,M,,2019,M,,,,M,,BC,25,CALLAGHAN VALLEY,,,1101300,,,M,M,,2019-01-25 00:00:00,M,M,,178,M
-123.11055833333333,50.143905277777776,,,-4.7,1,,-1.7,,1101300.2019.1.26,M,,2019,M,,,19.7,M,,BC,26,CALLAGHAN VALLEY,1.3,0,1101300,,,M,,,2019-01-26 00:00:00,,,0,175,
-123.11055833333333,50.143905277777776,,,-3.4,1,,0.4,,1101300.2019.1.27,M,,2019,M,,,17.6,M,,BC,27,CALLAGHAN VALLEY,4.2,0,1101300,,,M,,,2019-01-27 00:00:00,,,0,174,
-123.11055833333333,50.143905277777776,,,-5.2,1,99,0,,1101300.2019.1.28,,,2019,,,,18,M,,BC,28,CALLAGHAN VALLEY,5.2,0,1101300,,47,M,,,2019-01-28 00:00:00,,,0,172,
-123.11055833333333,50.143905277777776,,,-6.3,1,91,-0.2,,1101300.2019.1.29,,,2019,,,,18.2,M,,BC,29,CALLAGHAN VALLEY,6,0,1101300,,41,M,,,2019-01-29 00:00:00,,,0,170,
-123.11055833333333,50.143905277777776,,,-3.5,1,94,0.9,,1101300.2019.1.30,,,2019,,,,17.1,M,,BC,30,CALLAGHAN VALLEY,5.3,0,1101300,,54,M,,,2019-01-30 00:00:00,,,0,169,
-123.11055833333333,50.143905277777776,,,0.2,1,99,2.4,,1101300.2019.1.31,,,2019,,,,15.6,M,,BC,31,CALLAGHAN VALLEY,4.6,0,1101300,,69,M,,,2019-01-31 00:00:00,,,2.5,167,
-123.11055833333333,50.143905277777776,,,0,2,,0.6,,1101300.2019.2.1,M,,2019,M,,,17.4,M,,BC,1,CALLAGHAN VALLEY,1.3,0,1101300,,,M,,,2019-02-01 00:00:00,,,43,177,
-123.11055833333333,50.143905277777776,,,-3.4,2,,-0.4,,1101300.2019.2.2,M,,2019,M,,,18.4,M,,BC,2,CALLAGHAN VALLEY,2.5,0,1101300,,,M,,,2019-02-02 00:00:00,,,1.6,192,
-123.11055833333333,50.143905277777776,,,-16,2,96,-9.7,,1101300.2019.2.3,,,2019,,,,27.7,M,,BC,3,CALLAGHAN VALLEY,-3.4,0,1101300,,67,M,,,2019-02-03 00:00:00,,,0.6,184,
-123.11055833333333,50.143905277777776,,,-18.1,2,91,-13.7,,1101300.2019.2.4,,,2019,,,,31.7,M,,BC,4,CALLAGHAN VALLEY,-9.4,0,1101300,,53,M,,,2019-02-04 00:00:00,,,0.1,182,
-123.11055833333333,50.143905277777776,,,-17.5,2,96,-10.1,,1101300.2019.2.5,,,2019,,,,28.1,M,,BC,5,CALLAGHAN VALLEY,-2.7,0,1101300,,38,M,,,2019-02-05 00:00:00,,,0,180,
-123.11055833333333,50.143905277777776,,,-14.7,2,94,-8.1,,1101300.2019.2.6,,,2019,,,,26.1,M,,BC,6,CALLAGHAN VALLEY,-1.5,0,1101300,,42,M,,,2019-02-06 00:00:00,,,0,179,
-123.11055833333333,50.143905277777776,,,-11.5,2,96,-6.3,,1101300.2019.2.7,,,2019,,,,24.3,M,,BC,7,CALLAGHAN VALLEY,-1.1,0,1101300,,46,M,,,2019-02-07 00:00:00,,,0,178,
-123.11055833333333,50.143905277777776,,,-13.2,2,96,-8.8,,1101300.2019.2.8,,,2019,,,,26.8,M,,BC,8,CALLAGHAN VALLEY,-4.4,0,1101300,,32,M,,,2019-02-08 00:00:00,,,0,177,
-123.11055833333333,50.143905277777776,,,-14.3,2,79,-10.7,,1101300.2019.2.9,,,2019,,,,28.7,M,,BC,9,CALLAGHAN VALLEY,-7.1,0,1101300,,33,M,,,2019-02-09 00:00:00,,,0,177,
-123.11055833333333,50.143905277777776,,,-18.5,2,89,-14.3,,1101300.2019.2.10,,,2019,,,,32.3,M,,BC,10,CALLAGHAN VALLEY,-10.1,0,1101300,,53,M,,,2019-02-10 00:00:00,,,0,176,
-123.11055833333333,50.143905277777776,,,-19.1,2,87,-13.4,,1101300.2019.2.11,,,2019,,,,31.4,M,,BC,11,CALLAGHAN VALLEY,-7.8,0,1101300,,42,M,,,2019-02-11 00:00:00,,,0.4,176,
-123.11055833333333,50.143905277777776,,,-11.5,2,94,-10.1,,1101300.2019.2.12,,,2019,,,,28.1,M,,BC,12,CALLAGHAN VALLEY,-8.6,0,1101300,,73,M,,,2019-02-12 00:00:00,,,4.1,177,
-123.11055833333333,50.143905277777776,,,-15.6,2,95,-9.1,,1101300.2019.2.13,,,2019,,,,27.1,M,,BC,13,CALLAGHAN VALLEY,-2.6,0,1101300,,61,M,,,2019-02-13 00:00:00,,,0.6,186,
-123.11055833333333,50.143905277777776,,,-13.7,2,97,-8.2,,1101300.2019.2.14,,,2019,,,,26.2,M,,BC,14,CALLAGHAN VALLEY,-2.6,0,1101300,,68,M,,,2019-02-14 00:00:00,,,0.9,182,
-123.11055833333333,50.143905277777776,,,-5.9,2,99,-2.8,,1101300.2019.2.15,,,2019,,,,20.8,,,BC,15,CALLAGHAN VALLEY,0.2,0,1101300,,87,,,,2019-02-15 00:00:00,,,5.5,186,
-123.11055833333333,50.143905277777776,,,-5.8,2,99,-1.3,,1101300.2019.2.16,,,2019,,,,19.3,,,BC,16,CALLAGHAN VALLEY,3.2,0,1101300,,70,,,,2019-02-16 00:00:00,,,0.3,191,
-123.11055833333333,50.143905277777776,,,-8.8,2,98,-2.4,,1101300.2019.2.17,,,2019,,,,20.4,,,BC,17,CALLAGHAN VALLEY,4,0,1101300,,51,,,,2019-02-17 00:00:00,,,0,187,
-123.11055833333333,50.143905277777776,,,-11.6,2,97,-5.3,,1101300.2019.2.18,,,2019,,,,23.3,,,BC,18,CALLAGHAN VALLEY,1.1,0,1101300,,52,,,,2019-02-18 00:00:00,,,0,185,
